idcentro,latitud,localidad,longitud,naturaleza,nombre,tipo
50017059,41.63830330,Zaragoza,-0.90808529,Privado,Centro de Diseño HACER CREATIVO,Centro Privado Superior de Artes Plásticas y Diseño
50017060,41.65226969,Zaragoza,-0.89732283,Privado,Federico Chopín,Escuela Privada de Música y/o Danza
50017072,41.68115591,Zaragoza,-0.87233890,Público,Parque Goya,Colegio Público
50017084,41.35072981,Calatayud,-1.64677825,Privado,Pequeayud,Centro Privado de Educación Infantil
50017126,41.23340243,Caspe,-0.04381661,Público,Extensión De E.O.I.,Escuela Oficial de Idiomas (EOI)
50017138,41.67175946,Zaragoza,-0.88543493,Privado,La Pequeña Cometa,Centro Privado de Educación Infantil
50017141,41.20984857,Herrera De Los Navarros,-1.08483808,Público,Zagalicos,Escuela de Educación Infantil
50017151,41.52450528,Calatorao,-1.34513938,Público,E.E.I. De Calatorao,Escuela de Educación Infantil
50017175,41.64186084,Zaragoza,-0.87061548,Privado,Ntra. Sra. De Los Dolores,Centro Privado de Educación Infantil
50017254,41.62537307,Zaragoza,-0.88084570,Privado,Siervas De Los Pobres,Centro Privado de Educación Infantil
50017266,41.62779447,Zaragoza,-0.89155113,Privado,Muñecos,Centro Privado de Educación Infantil
50017278,41.48675314,Pina De Ebro,-0.52869430,Público,Escuela De Música,Escuela Pública de Música y/o Danza
50017281,41.35464966,Calatayud,-1.64058454,Público,Escuela  De Música,Escuela Pública de Música y/o Danza
22000585,42.27613514,Ayerbe,-0.68825059,Público,Ramón Y Cajal,Colegio Público
22000743,42.03457662,Barbastro,0.11405672,Privado,La Inmaculada,Centro Privado de Educación Secundaria
22000809,42.03294138,Barbastro,0.13169369,Público,Hermanos Argensola,Instituto de Educación Secundaria (IES)
22001085,41.85023174,Binefar,0.29640483,Concertado,Virgen Del Romeral,Centro Privado con varias Enseñanzas de Régimen General
22001191,42.30322242,Bolea,-0.57826104,Público,Virgen De La Soledad,Colegio Público
22001218,42.44128041,Boltaña,0.07618790,Público,E.H. De Boltaña,Residencia
